Obsdate		flux	flux_ler	BKG	BAND
 53508.343      -4.51      4.20     16.84  2 
 53510.621      -8.69      4.46     17.94  1 
 53514.115      -0.94      4.11     17.07  2 
 53518.819      -1.29      3.48     16.63  1 
 53521.965      -0.63      3.48     16.92  1 
 53554.423      -3.00      9.03     17.12  2 
 53558.404      -1.64      4.45     16.72  1 
 53562.027      -1.16      5.23     17.44  2 
 53565.092      -8.62      3.37     16.82  1 
 53569.702       4.28      5.37     16.33  2 
 53572.633      -0.32      3.35     16.65  1 
 53575.862      -1.46      5.94     16.62  2 
 53579.579      -2.59      4.43     17.24  1 
 53582.546       4.01      5.90     16.92  2 
 53585.608       4.41      4.56     17.13  1 
 53589.623      -1.05      4.29     16.72  2 
 53592.489       4.34      8.59     17.67  1 
 53598.321      -1.12      3.61     16.90  1 
 53602.137      -1.02      4.50     16.66  2 
 53605.201      -0.74      4.37     17.41  1 
 53609.345     -10.66      9.67     18.65  2 
 53613.394      -5.67      4.49     16.95  1 
 53616.693      -6.89      4.31     16.36  2 
 53620.475      -0.40      3.46     16.60  1 
 53624.557       6.21      6.18     17.04  2 
 53627.684      -5.43      3.36     16.98  1 
 53631.437       5.13      5.77     16.63  2 
 53634.564      -4.46      3.39     17.10  1 
 53638.316       0.90      5.44     16.68  2 
 53642.164      -5.36      3.45     16.63  1 
 53646.113      -1.88      4.39     16.90  2 
 53649.175       2.35      3.57     16.75  1 
 53652.204       0.56      4.41     17.03  2 
 53659.282       3.77      5.88     17.06  2 
 53662.213       2.65      4.45     16.64  1 
 53666.428      -0.64      5.77     16.89  2 
 53670.540       2.61      4.58     16.97  1 
 53673.442      -4.70      4.33     16.41  2 
 53775.125      -3.71      4.16     16.52  2 
 53778.251      -4.27      4.55     17.18  1 
 53781.086       0.92      4.36     16.96  2 
 53784.997      -4.22      4.77     17.44  1 
 53787.898      -3.43      9.11     18.48  2 
 53791.875      -7.60      4.59     17.21  1 
 53794.841      -2.06      5.65     17.11  2 
 53798.883      -5.80      8.25     18.28  1 
 53801.848      10.55      5.80     17.05  2 
 53805.760      -5.17      8.18     18.63  1 
 53809.772       9.73      9.56     18.09  2 
 53812.441       4.56      8.17     17.86  1 
 53816.916      -0.79      9.30     17.89  2 
 53819.847       5.23      8.40     18.35  1 
 53822.946      -6.09      5.43     17.53  2 
 53826.268       0.85      8.02     18.49  1 
 53829.956      22.71     10.43     16.67  2 
 53833.866       9.09      4.98     17.11  1 
 53836.897      -1.30      9.01     18.16  2 
 53840.743      -0.89      3.77     16.31  1 
 53844.887       4.01      4.25     16.77  2 
 53847.816      -0.15      3.59     16.61  1 
 53851.501       6.69      5.95     16.40  2 
 53854.496      -8.09      4.40     16.12  1 
 53858.638       2.83      5.60     16.04  2 
 53861.569      -4.05      3.45     16.15  1 
 53864.402       8.03      6.08     16.46  2 
 53868.776      -1.11      7.79     17.62  1 
 53875.787      -5.83      4.49     16.35  1 
 53878.819       2.18      5.77     16.09  2 
 53881.944      -4.38      4.61     16.72  1 
 53884.975       3.79      5.87     16.56  2 
 53887.904      -5.27      4.46     16.42  1 
 53890.803       3.61      4.18     16.43  2 
 53893.553       0.32      5.49     16.51  2 
 53918.636      -5.46      5.41     16.39  2 
 53923.683       7.72      5.80     16.51  2 
 53927.660       0.07      4.69     16.53  1 
 53930.691      13.93      6.18     16.00  2 
 53933.685       2.76      4.94     16.81  1 
 53937.567      -1.76      5.84     16.35  2 
 53941.609       5.53      5.07     16.12  1 
 53945.555       8.59      9.72     16.68  2 
 53949.532      -1.32      4.79     16.56  1 
 53952.429       3.16      6.01     16.02  2 
 53958.388      -6.58      5.66     16.62  2 
 53962.235      -3.42      3.25     16.09  1 
 53965.396      -1.83      5.94     16.67  2 
 53969.440      -3.66      4.90     16.35  1 
 53972.539      11.54      6.45     16.02  2 
 53975.534       0.22      4.70     16.36  1 
 53980.531       1.30      6.03     16.55  2 
 53983.655       7.12      5.00     16.72  1 
 53987.668       3.16      6.31     16.32  2 
 53991.447      -8.56      4.54     16.79  1 
 53995.262      -5.58      5.76     16.50  2 
 53998.387      -0.72      4.80     16.72  1 
 54002.202     -13.00      5.54     16.38  2 
 54005.131       2.53      5.00     16.59  1 
 54008.094      -2.99      6.03     16.27  2 
 54011.155       0.50      4.72     16.39  1 
 54015.821       3.53      6.08     16.26  2 
 54019.866       4.89      5.01     16.24  1 
 54022.834      -6.61      5.67     16.51  2 
 54026.352       2.63      4.97     16.47  1 
 54029.449      14.03      7.44     16.33  2 
 54032.312      -1.73      4.55     16.36  1 
 54035.407       3.42      6.40     16.32  2 
 54038.401       3.73      5.00     16.39  1 
 54139.233       0.00      4.74     16.44  1 
 54142.198       2.40      5.77     16.56  2 
 54145.911      -1.18      4.83     16.68  1 
 54149.005       4.74      5.92     16.55  2 
 54152.718      -5.28      4.60     16.54  1 
 54155.746       1.96      5.83     16.75  2 
 54162.618      20.08      6.55     16.45  2 
 54166.464       3.52      4.92     16.26  1 
 54170.477       5.81      5.99     16.38  2 
 54174.258      -6.07      4.66     16.46  1 
 54178.076       6.83      5.80     16.48  2 
 54180.938      -2.60      4.69     16.45  1 
 54184.164       3.16      5.99     16.40  2 
 54188.138       2.06      4.97     17.02  1 
 54191.037      13.75      6.29     16.73  2 
 54194.749       0.91      4.88     16.98  1 
 54197.778       1.69      5.68     16.54  2 
 54201.622       2.89      5.16     16.62  1 
 54204.781      -1.56      5.50     16.98  2 
 54208.495      -1.85      4.77     16.72  1 
 54212.438      -1.77      5.86     16.91  2 
 54216.349      -3.02      4.66     16.18  1 
 54219.705       6.67      5.92     16.83  2 
 54222.766       2.44      5.06     15.72  1 
 54225.930       8.89      5.87     16.48  2 
 54229.905       4.93      7.74     16.65  1 
 54233.000       0.84      5.73     16.35  2 
 54236.778      -1.24      4.87     16.93  1 
 54240.789      -2.89      5.57     16.65  2 
 54243.782      -2.03      4.70     16.29  1 
 54247.595      -5.14      5.58     16.38  2 
 54251.635       3.15      5.05     16.53  1 
 54255.645       0.12      5.63     17.01  2 
 54283.732      12.63      6.06     16.39  2 
 54289.603       2.74      4.81     16.31  1 
 54292.698       9.32      5.91     16.80  2 
 54296.476      -2.48      4.77     16.60  1 
 54299.438       1.52      5.77     16.99  2 
 54302.366       2.45      5.04     16.24  1 
 54305.327      -3.64      5.80     16.56  2 
 54308.255       4.07      5.07     16.43  1 
 54312.133     -12.68      5.49     16.24  2 
 54316.108       6.71      5.39     16.23  1 
 54319.398       0.49      6.29     16.19  2 
 54322.526      -2.04      4.81     15.83  1 
 54325.556       1.09      5.97     15.70  2 
 54329.532       1.60      4.76     16.02  1 
 54333.544       3.52      9.76     16.46  2 
 54336.536      -1.55      4.76     16.53  1 
 54340.677       2.00     10.21     16.98  2 
 54344.389      -1.15      4.68     16.88  1 
 54347.548      -6.89      5.79     16.61  2 
 54356.382      -3.26      5.94     16.66  2 
 54359.310      -1.61      4.79     16.41  1 
 54362.991     -14.26      5.58     16.51  2 
 54366.246      -1.67      4.42     16.40  1 
 54369.341       2.33      6.12     16.48  2 
 54372.269      -5.18      4.52     16.36  1 
 54379.407      -4.90      4.59     16.28  1 
